Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Subject
Elastic Net,1.976,5.356,2.1542,-11.0209,0.7077,0.6392,0.048,2
Random Forest Regressor,2.0268,5.7197,2.2314,-10.9692,0.7405,0.6444,0.43,2
Dummy Regressor,2.0508,5.4926,2.1687,-13.1954,0.7235,0.7261,0.045,2
Orthogonal Matching Pursuit,2.0638,6.1041,2.2793,-11.4771,0.7318,0.6861,0.043,2
Decision Tree Regressor,2.1133,8.1958,2.5837,-16.1111,0.8749,0.7166,0.048,2
AdaBoost Regressor,2.1969,6.786,2.4369,-15.1577,0.7873,0.8271,0.24,2
K Neighbors Regressor,2.264,6.5663,2.495,-11.5389,0.8249,0.8345,0.048,2
Huber Regressor,2.3667,7.8684,2.5851,-18.6319,0.8168,0.9206,0.07,2
Linear Regression,2.8469,22.3713,3.1465,-88.3885,0.7471,1.8961,0.049,2
Passive Aggressive Regressor,4.0182,21.5359,4.2559,-61.126,1.381,2.0162,0.042,2
Least Angle Regression,925548.543,9599536225648.219,1156233.9795,-37873831151069.33,7.4348,829208.5997,0.058,2
Light Gradient Boosting Machine,2.2305,7.4058,2.538,-3.3708,0.6509,0.7452,0.066,3
AdaBoost Regressor,2.3142,8.4618,2.6867,-4.0153,0.6974,0.7634,0.163,3
Gradient Boosting Regressor,2.3162,8.0162,2.6505,-3.9464,0.6765,0.7724,0.279,3
Random Forest Regressor,2.3711,8.4131,2.6785,-4.2896,0.6895,0.8022,0.361,3
Extra Trees Regressor,2.5795,9.7522,2.8457,-4.6536,0.7586,0.8214,0.327,3
Ridge Regression,2.5811,9.4171,2.8954,-5.943,0.7326,0.8317,0.049,3
Linear Regression,2.6779,11.6527,3.2712,-5.386,0.7274,0.8451,0.048,3
Dummy Regressor,2.7408,9.2773,2.8686,-9.7615,0.7325,0.8035,0.043,3
Bayesian Ridge,2.8428,10.8573,3.0886,-6.7649,0.7791,0.9089,0.049,3
Elastic Net,2.9024,10.4632,3.0522,-9.492,0.7767,0.8669,0.045,3
Lasso Least Angle Regression,2.9422,10.637,3.0783,-9.6529,0.7802,0.8823,0.045,3
Lasso Regression,2.9422,10.637,3.0783,-9.6529,0.7802,0.8823,0.044,3
Huber Regressor,3.0086,12.3535,3.3214,-8.5646,0.8367,0.9249,0.074,3
K Neighbors Regressor,3.1316,12.0561,3.3311,-10.6592,0.8369,0.8674,0.044,3
Decision Tree Regressor,3.1344,16.53,3.834,-10.3894,1.0245,1.0602,0.051,3
Orthogonal Matching Pursuit,3.2126,13.4298,3.4705,-7.0426,0.8832,0.9975,0.049,3
Passive Aggressive Regressor,5.2688,34.4432,5.3774,-40.1073,1.2013,1.3073,0.044,3
Least Angle Regression,676777173.251,5.959590377192207e+18,812370068.7234,-9.667934051209482e+17,11.6047,168908503.1314,0.059,3
Extra Trees Regressor,0.9771,1.2757,1.0646,-2.5127,0.4858,,0.314,4
Gradient Boosting Regressor,0.978,1.4013,1.0854,-3.5216,0.494,,0.276,4
Light Gradient Boosting Machine,0.997,1.3977,1.1128,-2.7524,0.4985,,0.067,4
Linear Regression,1.0162,1.5392,1.1994,-3.4193,0.5097,,0.048,4
Random Forest Regressor,1.0216,1.4051,1.0995,-3.0868,0.4954,,0.348,4
AdaBoost Regressor,1.0376,1.4666,1.1332,-3.3682,0.5179,,0.164,4
Dummy Regressor,1.1099,1.8144,1.1641,-3.7563,0.5294,,0.047,4
Lasso Least Angle Regression,1.1323,1.7881,1.2148,-4.5786,0.5137,,0.048,4
Lasso Regression,1.1323,1.7881,1.2148,-4.5786,0.5137,,0.047,4
Elastic Net,1.1539,1.8489,1.2438,-4.5745,0.5219,,0.046,4
Ridge Regression,1.1606,1.7099,1.2597,-4.3877,0.5273,,0.05,4
Huber Regressor,1.2017,1.8398,1.3059,-4.631,0.5665,,0.07,4
Decision Tree Regressor,1.2267,2.1467,1.415,-5.3511,0.6597,,0.053,4
Bayesian Ridge,1.2317,1.9732,1.3187,-4.8578,0.5846,,0.05,4
Orthogonal Matching Pursuit,1.256,1.9681,1.3462,-4.1049,0.5861,,0.046,4
K Neighbors Regressor,1.2973,2.3637,1.3846,-5.2232,0.6287,,0.047,4
Passive Aggressive Regressor,2.1786,8.2593,2.2351,-52.6549,0.817,,0.047,4
Least Angle Regression,5.5923206822954055e+143,3.676035678924756e+288,6.063031979896491e+143,-31201599163.9108,39.8774,,0.065,4
AdaBoost Regressor,0.373,0.309,0.4788,-0.5358,0.3349,,0.157,5
Extra Trees Regressor,0.3826,0.2559,0.4444,-0.4564,0.3165,,0.323,5
Random Forest Regressor,0.3931,0.2694,0.4538,-0.4699,0.322,,0.361,5
Decision Tree Regressor,0.3944,0.3944,0.5748,-0.5,0.3985,,0.05,5
Orthogonal Matching Pursuit,0.3975,0.2179,0.4365,-0.207,0.3114,,0.053,5
Gradient Boosting Regressor,0.4067,0.3097,0.5021,-0.5092,0.3515,,0.283,5
Bayesian Ridge,0.4114,0.242,0.4491,-0.3365,0.3178,,0.053,5
Light Gradient Boosting Machine,0.4188,0.2923,0.4852,-0.5062,0.3365,,0.074,5
Ridge Regression,0.4234,0.2515,0.4704,-0.2927,0.3313,,0.054,5
Lasso Least Angle Regression,0.4273,0.2492,0.4513,-0.4456,0.3235,,0.054,5
Lasso Regression,0.4273,0.2492,0.4513,-0.4456,0.3235,,0.048,5
Elastic Net,0.4276,0.2495,0.4513,-0.4483,0.3236,,0.05,5
Huber Regressor,0.4331,0.2757,0.4874,-0.4038,0.3414,,0.075,5
K Neighbors Regressor,0.4342,0.3139,0.4845,-0.5104,0.3448,,0.054,5
Linear Regression,0.4919,0.3791,0.5984,-0.5895,0.3747,,0.053,5
Dummy Regressor,0.5069,0.2748,0.5123,-0.1563,0.3676,,0.048,5
Passive Aggressive Regressor,0.7122,0.6061,0.7394,-0.4182,0.5109,,0.05,5
Least Angle Regression,490181.3732,2333063230702.635,622718.2123,-14270140412062.354,8.8238,,0.065,5
AdaBoost Regressor,2.4654,12.1892,3.0325,-9.0696,0.8338,,0.144,6
Extra Trees Regressor,2.7291,10.4492,2.9475,-7.197,0.7595,,0.262,6
Random Forest Regressor,3.0171,13.1162,3.2888,-8.1316,0.838,,0.349,6
Gradient Boosting Regressor,3.1974,15.1471,3.5244,-6.7734,0.8707,,0.162,6
Ridge Regression,3.3616,17.2716,3.8716,-11.3803,0.8792,,0.051,6
Huber Regressor,3.4551,19.953,4.0778,-11.5929,0.9123,,0.075,6
Orthogonal Matching Pursuit,3.4579,16.4465,3.8072,-11.3279,0.875,,0.056,6
Dummy Regressor,3.5775,15.4483,3.6927,-15.0789,0.9072,,0.049,6
Light Gradient Boosting Machine,3.5775,15.4483,3.6927,-15.0789,0.9072,,0.054,6
Elastic Net,3.655,18.0802,3.9482,-12.182,0.8995,,0.056,6
Decision Tree Regressor,3.6583,24.9583,4.5908,-13.8296,1.3249,,0.052,6
Lasso Regression,3.7589,18.797,4.0313,-13.3127,0.9167,,0.05,6
Lasso Least Angle Regression,3.7589,18.797,4.0313,-13.3127,0.9167,,0.052,6
Bayesian Ridge,3.8007,18.3714,4.0076,-15.8232,0.9535,,0.053,6
Passive Aggressive Regressor,3.9413,26.0159,4.2274,-9.6456,0.9748,,0.055,6
K Neighbors Regressor,4.055,19.923,4.2822,-24.5503,1.0465,,0.051,6
Linear Regression,6.635,77.6452,7.9722,-25.2586,1.1157,,0.054,6
Least Angle Regression,2.745301557498595e+23,1.2254481112930655e+48,3.6246202491760306e+23,-1.9768541202757374e+47,37.5172,,0.07,6
AdaBoost Regressor,0.25,0.25,0.4054,-0.1667,0.2811,,0.124,8
Gradient Boosting Regressor,0.3003,0.2601,0.3852,-0.4503,0.2546,,0.168,8
Extra Trees Regressor,0.3117,0.1934,0.3742,-0.3883,0.248,,0.281,8
Random Forest Regressor,0.3234,0.207,0.3757,-0.4014,0.2484,,0.369,8
Light Gradient Boosting Machine,0.3255,0.1712,0.3702,-0.3237,0.2418,,0.07,8
Orthogonal Matching Pursuit,0.3422,0.1813,0.3943,-0.2351,0.2587,,0.053,8
Ridge Regression,0.3608,0.2086,0.407,-0.3868,0.2598,,0.051,8
Decision Tree Regressor,0.38,0.38,0.5057,-0.1667,0.3507,,0.057,8
Elastic Net,0.3916,0.2366,0.4311,-0.412,0.2765,,0.054,8
Bayesian Ridge,0.3942,0.2506,0.4396,-0.4577,0.2811,,0.057,8
Dummy Regressor,0.4025,0.2169,0.4137,-0.2992,0.2645,,0.05,8
K Neighbors Regressor,0.411,0.2662,0.4664,-0.415,0.2981,,0.057,8
Lasso Regression,0.4121,0.2523,0.4399,-0.4676,0.2802,,0.052,8
Lasso Least Angle Regression,0.4121,0.2523,0.4399,-0.4676,0.2802,,0.056,8
Huber Regressor,0.4136,0.2553,0.4575,-0.3381,0.297,,0.081,8
Passive Aggressive Regressor,0.4714,0.3825,0.4974,-1.1387,0.3013,,0.057,8
Linear Regression,1.2484,2.3014,1.402,-4.1877,0.5832,,0.057,8
Least Angle Regression,9.462238030245911e+19,1.0068877314862487e+41,1.0637576264661325e+20,-5.155409847743434e+33,31.7104,,0.069,8
Extra Trees Regressor,1.357,3.205,1.5344,-0.89,0.5957,,0.346,9
Light Gradient Boosting Machine,1.5362,4.2837,1.8481,-3.3602,0.6723,,0.086,9
Linear Regression,1.5896,4.2758,1.9131,-2.7679,0.6559,,0.055,9
Gradient Boosting Regressor,1.6572,4.9656,1.9408,-3.5201,0.6913,,0.338,9
AdaBoost Regressor,1.667,4.8526,1.9479,-3.6781,0.6923,,0.193,9
Random Forest Regressor,1.7701,4.8227,2.052,-4.6615,0.7313,,0.403,9
Ridge Regression,1.8474,5.6106,2.1321,-2.6316,0.7403,,0.053,9
Bayesian Ridge,1.8578,5.6547,2.1328,-2.6096,0.7403,,0.057,9
Decision Tree Regressor,2.0571,8.0714,2.5384,-5.688,0.852,,0.06,9
Passive Aggressive Regressor,2.0951,8.9208,2.2728,-8.7207,0.7677,,0.056,9
Orthogonal Matching Pursuit,2.1461,7.9828,2.4384,-4.1462,0.7702,,0.053,9
Huber Regressor,2.3532,8.5505,2.7156,-6.0599,0.8736,,0.084,9
Dummy Regressor,2.3925,7.4194,2.5017,-8.4823,0.848,,0.054,9
Lasso Regression,2.4557,8.8177,2.7143,-8.1142,0.905,,0.052,9
Lasso Least Angle Regression,2.4557,8.8177,2.7143,-8.1142,0.905,,0.06,9
Elastic Net,2.4582,8.9929,2.7538,-8.1029,0.915,,0.053,9
K Neighbors Regressor,2.5,8.9057,2.8029,-10.2673,0.918,,0.053,9
Least Angle Regression,1470419726.0122,3.889086999612093e+19,1972268566.4672,-9.528263117874165e+19,9.8651,,0.067,9
Gradient Boosting Regressor,0.9612,1.3754,1.1188,-2.8278,0.5077,0.5207,0.342,10
AdaBoost Regressor,1.0172,1.4727,1.1587,-2.6913,0.5345,0.4993,0.206,10
Extra Trees Regressor,1.0607,1.5055,1.1805,-3.0971,0.5454,0.5342,0.339,10
Decision Tree Regressor,1.0782,1.9526,1.3401,-4.317,0.6398,0.6114,0.064,10
Random Forest Regressor,1.0785,1.5707,1.2095,-3.2745,0.5508,0.5516,0.394,10
Dummy Regressor,1.0862,1.4386,1.1531,-2.873,0.5342,0.4579,0.06,10
Light Gradient Boosting Machine,1.11,1.6695,1.2529,-3.5291,0.5672,0.5692,0.085,10
Ridge Regression,1.1366,1.8133,1.2709,-2.8079,0.5505,0.6153,0.059,10
Lasso Regression,1.1385,1.6394,1.2274,-3.4543,0.5642,0.4792,0.055,10
Lasso Least Angle Regression,1.1385,1.6394,1.2274,-3.4543,0.5642,0.4792,0.061,10
Huber Regressor,1.1448,1.8263,1.2952,-2.9113,0.5771,0.5764,0.081,10
Orthogonal Matching Pursuit,1.1464,1.7286,1.2655,-3.4585,0.5839,0.5047,0.06,10
Bayesian Ridge,1.1558,1.808,1.2784,-3.5249,0.5757,0.5616,0.064,10
Elastic Net,1.1633,1.7143,1.2553,-3.565,0.5756,0.4893,0.061,10
K Neighbors Regressor,1.1654,1.7165,1.2752,-3.3828,0.584,0.5725,0.06,10
Linear Regression,1.2134,2.658,1.5004,-5.3424,0.5828,0.6432,0.062,10
Passive Aggressive Regressor,1.6184,3.4822,1.7628,-7.5864,0.7729,0.7664,0.055,10
Least Angle Regression,2.9070297806117026e+146,1.4635928188942622e+294,3.8256931645053057e+146,-1.608834854357051e+294,40.5675,1.9221257435906485e+146,0.078,10
Gradient Boosting Regressor,1.2102,2.2728,1.4416,-1.4855,0.4721,0.3847,0.324,12
Extra Trees Regressor,1.2595,2.3358,1.4366,-1.4281,0.4711,0.4157,0.345,12
Light Gradient Boosting Machine,1.2601,2.354,1.4861,-1.7122,0.5054,0.4008,0.086,12
Random Forest Regressor,1.2682,2.2825,1.4521,-1.466,0.4908,0.3822,0.388,12
Linear Regression,1.288,2.8859,1.6588,-1.9987,0.5141,0.3783,0.064,12
Decision Tree Regressor,1.2909,3.6712,1.8276,-3.1264,0.6393,0.5178,0.061,12
AdaBoost Regressor,1.4623,3.0144,1.6636,-1.9019,0.5492,0.4318,0.172,12
Dummy Regressor,1.7586,3.8365,1.883,-2.1215,0.6168,0.4818,0.057,12
Ridge Regression,1.9294,4.8268,2.1324,-5.8397,0.6999,0.586,0.059,12
Bayesian Ridge,1.9744,4.9404,2.1539,-5.4439,0.6946,0.5916,0.065,12
Lasso Least Angle Regression,2.0661,4.9909,2.1715,-4.054,0.6893,0.6111,0.064,12
Lasso Regression,2.0661,4.9909,2.1715,-4.054,0.6893,0.6111,0.06,12
Orthogonal Matching Pursuit,2.0816,5.3973,2.2289,-4.0876,0.7208,0.5825,0.058,12
Elastic Net,2.0971,5.1396,2.2062,-4.2852,0.6987,0.6214,0.058,12
K Neighbors Regressor,2.1565,5.7994,2.334,-4.9117,0.7541,0.607,0.057,12
Passive Aggressive Regressor,2.1791,6.7258,2.3644,-7.5874,0.7623,0.7721,0.063,12
Huber Regressor,2.4349,7.1688,2.5752,-7.1512,0.8189,0.715,0.083,12
Least Angle Regression,186458.0176,551666980338.1517,262422.6448,-558975164418.7874,6.9806,56000.7448,0.076,12
Dummy Regressor,2.3879,6.8069,2.5484,-6.2455,0.8575,,0.064,13
Gradient Boosting Regressor,2.522,8.2387,2.8221,-9.1167,0.9252,,0.298,13
Extra Trees Regressor,2.5691,8.1475,2.7998,-9.1494,0.9273,,0.349,13
Ridge Regression,2.5754,8.7093,2.8688,-8.6314,0.9481,,0.061,13
Decision Tree Regressor,2.6375,10.4661,3.1962,-11.5917,1.0955,,0.061,13
Bayesian Ridge,2.7518,9.015,2.9118,-9.555,0.9542,,0.064,13
Random Forest Regressor,2.7578,8.9305,2.9443,-10.5195,0.9676,,0.368,13
Elastic Net,2.7736,9.1967,2.949,-9.9474,0.9639,,0.061,13
Lasso Least Angle Regression,2.7776,9.1476,2.9486,-9.9803,0.9643,,0.061,13
Lasso Regression,2.7776,9.1476,2.9486,-9.9803,0.9643,,0.059,13
Light Gradient Boosting Machine,2.7995,9.5568,3.0301,-12.7812,1.0074,,0.082,13
AdaBoost Regressor,2.8248,9.7439,3.085,-11.0,1.0226,,0.189,13
Huber Regressor,2.8283,9.9475,3.0364,-11.5362,0.9873,,0.089,13
Orthogonal Matching Pursuit,2.9511,10.368,3.1411,-11.1944,1.0066,,0.064,13
Linear Regression,2.9729,14.2506,3.642,-24.4233,0.9377,,0.066,13
K Neighbors Regressor,3.0279,10.6673,3.2016,-12.0374,1.0362,,0.064,13
Passive Aggressive Regressor,4.4439,41.1119,4.7134,-30.7091,1.0412,,0.063,13
Least Angle Regression,35624682.5928,6794531649288212.0,42225281.6516,-1.1255568927603158e+16,12.0418,,0.079,13
Light Gradient Boosting Machine,1.3755,2.8987,1.6155,-1.0835,0.5902,,0.1,15
Gradient Boosting Regressor,1.4778,3.4191,1.7396,-1.5757,0.6482,,0.357,15
Extra Trees Regressor,1.5109,3.4066,1.7371,-1.6356,0.6468,,0.361,15
AdaBoost Regressor,1.5212,3.3911,1.748,-1.7747,0.6579,,0.256,15
Huber Regressor,1.5282,3.496,1.7828,-2.3753,0.662,,0.089,15
Random Forest Regressor,1.6555,3.8666,1.888,-2.0683,0.7124,,0.416,15
Elastic Net,1.6569,3.7967,1.8714,-2.4311,0.7033,,0.071,15
Orthogonal Matching Pursuit,1.6651,3.9226,1.8967,-2.8218,0.7123,,0.064,15
Lasso Least Angle Regression,1.6858,3.8547,1.8954,-2.4361,0.7151,,0.069,15
Lasso Regression,1.6858,3.8547,1.8954,-2.4361,0.7151,,0.062,15
Ridge Regression,1.7448,4.801,2.0367,-2.0899,0.6806,,0.071,15
Bayesian Ridge,1.7488,4.4809,2.0322,-2.4448,0.7012,,0.073,15
Decision Tree Regressor,1.7742,5.8841,2.3187,-4.0349,0.8181,,0.072,15
K Neighbors Regressor,1.7838,4.5935,2.0343,-1.9542,0.773,,0.064,15
Dummy Regressor,1.7854,4.0674,1.9421,-1.9937,0.7329,,0.064,15
Passive Aggressive Regressor,3.2162,17.9477,3.4052,-13.5592,1.0252,,0.064,15
Linear Regression,3.6572,56.475,4.0497,-16.9842,0.861,,0.066,15
Least Angle Regression,373943693.4501,6.935689167698696e+17,423925324.9875,-4.976770287562601e+17,10.8448,,0.083,15
Ridge Regression,2.3646,8.2301,2.6706,-15.3282,0.867,,0.065,16
Gradient Boosting Regressor,2.4762,8.7296,2.7913,-10.8397,0.9175,,0.204,16
Extra Trees Regressor,2.5335,8.2254,2.7533,-11.7369,0.8966,,0.35,16
Random Forest Regressor,2.5823,8.1437,2.736,-10.132,0.9023,,0.37,16
Dummy Regressor,2.5968,7.3137,2.6467,-8.7524,0.8848,,0.066,16
Light Gradient Boosting Machine,2.7252,9.877,3.0052,-11.5753,0.9757,,0.084,16
AdaBoost Regressor,2.7535,10.4028,3.0851,-13.1179,0.9968,,0.159,16
Elastic Net,2.8536,9.7859,3.0453,-11.6897,0.9711,,0.07,16
Lasso Regression,2.8785,9.6362,3.0233,-12.7546,0.9718,,0.064,16
Lasso Least Angle Regression,2.8785,9.6362,3.0233,-12.7546,0.9718,,0.065,16
Decision Tree Regressor,2.9267,14.44,3.5573,-20.2868,1.1398,,0.066,16
Bayesian Ridge,2.9407,10.1819,3.0382,-18.159,0.9719,,0.07,16
Orthogonal Matching Pursuit,3.146,13.5026,3.555,-17.765,1.1058,,0.07,16
Huber Regressor,3.148,14.3418,3.5636,-20.2264,1.0639,,0.091,16
K Neighbors Regressor,3.3507,12.8245,3.4794,-16.7317,1.1199,,0.064,16
Passive Aggressive Regressor,3.9779,28.4517,4.2505,-88.7073,1.3216,,0.066,16
Linear Regression,13.533,366.8224,16.3442,-356.6897,1.7472,,0.073,16
Least Angle Regression,5551436702428814.0,1.6136772944825182e+32,6362447436386762.0,-2.5570358083513803e+32,21.0856,,0.083,16
Light Gradient Boosting Machine,0.9387,1.382,1.131,-2.8241,0.4849,,0.092,17
AdaBoost Regressor,1.0333,1.6001,1.2329,-3.2333,0.5401,,0.178,17
Extra Trees Regressor,1.0411,1.5105,1.2001,-2.9414,0.5377,,0.343,17
Ridge Regression,1.0478,1.5182,1.2087,-2.6662,0.5113,,0.072,17
Random Forest Regressor,1.0561,1.5421,1.217,-2.8634,0.5337,,0.388,17
Gradient Boosting Regressor,1.0738,1.7015,1.2634,-3.3765,0.5522,,0.319,17
Bayesian Ridge,1.0923,1.5999,1.2417,-2.8576,0.5269,,0.075,17
Huber Regressor,1.098,1.6706,1.267,-3.0807,0.5176,,0.092,17
Orthogonal Matching Pursuit,1.1845,1.8541,1.3391,-3.9346,0.571,,0.068,17
Decision Tree Regressor,1.2545,2.7509,1.6065,-5.6981,0.704,,0.069,17
Linear Regression,1.3036,2.3509,1.5004,-5.0364,0.5823,,0.073,17
Dummy Regressor,1.3573,2.1509,1.4024,-3.6799,0.5934,,0.069,17
Elastic Net,1.3849,2.2347,1.4468,-4.0625,0.6112,,0.068,17
Lasso Regression,1.4078,2.2686,1.4612,-4.1306,0.62,,0.074,17
Lasso Least Angle Regression,1.4078,2.2686,1.4612,-4.1306,0.62,,0.071,17
K Neighbors Regressor,1.4382,2.5285,1.5431,-4.8542,0.6597,,0.067,17
Passive Aggressive Regressor,2.3078,6.5032,2.396,-19.1407,0.9768,,0.07,17
Least Angle Regression,2.1476367123673726e+182,inf,inf,-inf,50.1909,,0.085,17
