Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Gradient Boosting Regressor,1.6352,4.7449,2.1731,0.3434,0.5761,0.5242,0.212,"(1, 2, 4)"
Random Forest Regressor,1.6516,4.7442,2.1701,0.3483,0.5773,0.5315,0.306,"(1, 2, 4)"
Linear Regression,1.8981,6.0247,2.4444,0.173,0.631,0.6499,0.019,"(1, 2, 4)"
Ridge Regression,1.9846,6.0582,2.4579,0.1622,0.6508,0.6917,0.02,"(1, 2, 4)"
AdaBoost Regressor,2.0088,5.8001,2.4038,0.1995,0.666,0.7541,0.099,"(1, 2, 4)"
Bayesian Ridge,2.0329,6.1956,2.4868,0.1429,0.6618,0.7245,0.019,"(1, 2, 4)"
Decision Tree Regressor,2.092,8.9367,2.9668,-0.2322,0.7665,0.7111,0.021,"(1, 2, 4)"
Huber Regressor,2.1072,6.7336,2.5904,0.0704,0.6734,0.7405,0.024,"(1, 2, 4)"
Elastic Net,2.1398,6.7766,2.5966,0.0687,0.6837,0.7869,0.018,"(1, 2, 4)"
Orthogonal Matching Pursuit,2.1502,6.7496,2.5928,0.0704,0.6872,0.7885,0.019,"(1, 2, 4)"
Lasso Regression,2.1573,6.8448,2.6093,0.0601,0.6884,0.7968,0.017,"(1, 2, 4)"
Lasso Least Angle Regression,2.1573,6.8448,2.6093,0.0601,0.6884,0.7968,0.02,"(1, 2, 4)"
Dummy Regressor,2.2886,7.3533,2.7065,-0.0116,0.7109,0.8813,0.018,"(1, 2, 4)"
K Neighbors Regressor,2.3346,8.1834,2.8516,-0.1268,0.734,0.8848,0.02,"(1, 2, 4)"
Passive Aggressive Regressor,3.9814,27.8065,4.8275,-2.9772,1.0412,1.672,0.02,"(1, 2, 4)"
Least Angle Regression,1614.5512,37991872.6739,2322.2563,-5238174.3138,3.1919,644.5595,0.021,"(1, 2, 4)"
Extra Trees Regressor,1.5711,4.3031,2.0627,0.3959,0.5641,0.4991,0.141,"(1, 2, 5)"
Light Gradient Boosting Machine,1.6112,4.5291,2.1125,0.3678,0.5674,0.5223,0.081,"(1, 2, 5)"
Gradient Boosting Regressor,1.6482,4.6165,2.1346,0.3542,0.5704,0.5257,0.21,"(1, 2, 5)"
Random Forest Regressor,1.7023,4.7849,2.1741,0.3304,0.5924,0.5513,0.295,"(1, 2, 5)"
Linear Regression,1.9088,5.9358,2.4208,0.1706,0.6403,0.6629,0.028,"(1, 2, 5)"
Ridge Regression,1.9494,5.9803,2.4319,0.1637,0.6473,0.6718,0.022,"(1, 2, 5)"
Bayesian Ridge,1.9958,6.1014,2.4574,0.1462,0.6573,0.7028,0.02,"(1, 2, 5)"
AdaBoost Regressor,2.0099,6.0,2.4401,0.1555,0.6693,0.7461,0.099,"(1, 2, 5)"
Huber Regressor,2.0153,6.3482,2.5064,0.111,0.6546,0.6829,0.026,"(1, 2, 5)"
Orthogonal Matching Pursuit,2.1002,6.6481,2.5685,0.0671,0.6807,0.7645,0.018,"(1, 2, 5)"
Elastic Net,2.1294,6.7883,2.5952,0.0479,0.6837,0.7781,0.021,"(1, 2, 5)"
Lasso Regression,2.1422,6.8331,2.6033,0.0422,0.6863,0.788,0.023,"(1, 2, 5)"
Lasso Least Angle Regression,2.1422,6.8331,2.6033,0.0422,0.6863,0.788,0.022,"(1, 2, 5)"
K Neighbors Regressor,2.2003,7.7206,2.7656,-0.0871,0.7108,0.7776,0.019,"(1, 2, 5)"
Decision Tree Regressor,2.224,9.8619,3.1257,-0.3893,0.7928,0.726,0.022,"(1, 2, 5)"
Dummy Regressor,2.259,7.3015,2.6929,-0.0263,0.7053,0.851,0.024,"(1, 2, 5)"
Passive Aggressive Regressor,2.7289,12.1081,3.4022,-0.7351,0.8004,1.0437,0.021,"(1, 2, 5)"
Least Angle Regression,1.4588133619249221e+178,inf,inf,-inf,44.3247,5.085298524562155e+177,0.034,"(1, 2, 5)"
Extra Trees Regressor,1.3224,3.0408,1.7414,0.5371,0.5005,0.4752,0.145,"(1, 2, 6)"
Light Gradient Boosting Machine,1.4669,3.835,1.9534,0.4201,0.5507,0.5327,0.087,"(1, 2, 6)"
Random Forest Regressor,1.4696,3.6823,1.9161,0.4423,0.5427,0.5231,0.324,"(1, 2, 6)"
Gradient Boosting Regressor,1.521,3.9896,1.9952,0.394,0.5546,0.5565,0.223,"(1, 2, 6)"
Linear Regression,1.8065,5.3487,2.3105,0.1866,0.628,0.6851,0.022,"(1, 2, 6)"
Decision Tree Regressor,1.8256,6.8253,2.6108,-0.0363,0.6999,0.7013,0.026,"(1, 2, 6)"
Ridge Regression,1.874,5.4054,2.3208,0.1819,0.64,0.7103,0.023,"(1, 2, 6)"
Bayesian Ridge,1.8988,5.4819,2.3379,0.1716,0.6462,0.7206,0.023,"(1, 2, 6)"
AdaBoost Regressor,1.9298,5.3066,2.2994,0.2012,0.6651,0.7839,0.109,"(1, 2, 6)"
Huber Regressor,1.974,6.0394,2.4539,0.0893,0.6575,0.7022,0.028,"(1, 2, 6)"
Orthogonal Matching Pursuit,2.04,6.1841,2.4833,0.0678,0.6856,0.7906,0.023,"(1, 2, 6)"
Elastic Net,2.0713,6.3151,2.5087,0.0512,0.6856,0.7966,0.023,"(1, 2, 6)"
Lasso Regression,2.0888,6.3817,2.5212,0.0426,0.691,0.8015,0.022,"(1, 2, 6)"
Lasso Least Angle Regression,2.0888,6.3817,2.5212,0.0427,0.691,0.8015,0.023,"(1, 2, 6)"
K Neighbors Regressor,2.1526,7.2262,2.681,-0.09,0.7197,0.841,0.022,"(1, 2, 6)"
Dummy Regressor,2.1745,6.7293,2.5889,-0.0083,0.7105,0.8592,0.025,"(1, 2, 6)"
Passive Aggressive Regressor,3.569,25.6249,4.401,-2.729,0.9582,1.6121,0.024,"(1, 2, 6)"
Least Angle Regression,954.4631,6531890.105,1425.1493,-1090559.6875,3.1553,470.7474,0.024,"(1, 2, 6)"
Extra Trees Regressor,1.5673,4.4479,2.0934,0.3651,0.565,0.5068,0.147,"(1, 2, 8)"
Random Forest Regressor,1.6535,4.7319,2.162,0.3226,0.5879,0.5415,0.324,"(1, 2, 8)"
Light Gradient Boosting Machine,1.6536,4.9032,2.1988,0.2972,0.5909,0.5399,0.088,"(1, 2, 8)"
Gradient Boosting Regressor,1.6882,4.9793,2.2152,0.2932,0.5972,0.5621,0.22,"(1, 2, 8)"
Ridge Regression,1.9511,5.9453,2.4268,0.1485,0.6563,0.6738,0.025,"(1, 2, 8)"
Linear Regression,1.959,6.1424,2.4621,0.127,0.6505,0.6849,0.024,"(1, 2, 8)"
Bayesian Ridge,1.9783,6.0187,2.4419,0.1395,0.6643,0.6847,0.026,"(1, 2, 8)"
Huber Regressor,2.0061,6.3345,2.5002,0.102,0.6665,0.6674,0.032,"(1, 2, 8)"
Decision Tree Regressor,2.04,8.167,2.8473,-0.1988,0.7472,0.6685,0.028,"(1, 2, 8)"
AdaBoost Regressor,2.0636,6.1804,2.4765,0.1124,0.6988,0.7773,0.109,"(1, 2, 8)"
Elastic Net,2.101,6.599,2.5528,0.0654,0.6931,0.7501,0.027,"(1, 2, 8)"
Orthogonal Matching Pursuit,2.1056,6.6838,2.5715,0.0484,0.6979,0.7397,0.024,"(1, 2, 8)"
Lasso Regression,2.121,6.676,2.5678,0.0547,0.6997,0.7574,0.027,"(1, 2, 8)"
Lasso Least Angle Regression,2.121,6.676,2.5678,0.0547,0.6997,0.7574,0.026,"(1, 2, 8)"
Dummy Regressor,2.2577,7.2538,2.6803,-0.0316,0.7232,0.8251,0.028,"(1, 2, 8)"
K Neighbors Regressor,2.29,7.9701,2.8086,-0.1393,0.7403,0.7956,0.025,"(1, 2, 8)"
Passive Aggressive Regressor,3.0604,16.4443,3.8502,-1.3601,0.9249,1.0714,0.026,"(1, 2, 8)"
Least Angle Regression,44464.3298,29391303142.8628,73995.2393,-4434991560.5219,6.6909,20638.8406,0.028,"(1, 2, 8)"
Extra Trees Regressor,1.4043,3.7048,1.9152,0.4352,0.5216,0.459,0.145,"(1, 2, 9)"
Light Gradient Boosting Machine,1.4793,4.0261,1.993,0.3817,0.539,0.5107,0.088,"(1, 2, 9)"
Random Forest Regressor,1.5184,4.2312,2.0451,0.3518,0.5502,0.5129,0.297,"(1, 2, 9)"
Gradient Boosting Regressor,1.551,4.3438,2.0695,0.3398,0.5604,0.5411,0.214,"(1, 2, 9)"
Linear Regression,1.7355,5.2296,2.2739,0.2011,0.6021,0.662,0.03,"(1, 2, 9)"
AdaBoost Regressor,1.891,5.3638,2.3069,0.1805,0.6527,0.7505,0.11,"(1, 2, 9)"
Ridge Regression,1.8938,5.6943,2.3762,0.1387,0.6372,0.71,0.029,"(1, 2, 9)"
Huber Regressor,1.9499,6.1615,2.4705,0.0707,0.651,0.6899,0.032,"(1, 2, 9)"
Decision Tree Regressor,1.9737,8.1929,2.85,-0.2545,0.754,0.6852,0.032,"(1, 2, 9)"
Bayesian Ridge,1.9804,5.9904,2.4373,0.0955,0.6626,0.758,0.031,"(1, 2, 9)"
Orthogonal Matching Pursuit,1.9939,6.0251,2.4447,0.087,0.6632,0.7726,0.029,"(1, 2, 9)"
Elastic Net,2.0154,6.1605,2.4729,0.0701,0.6683,0.7733,0.029,"(1, 2, 9)"
Lasso Regression,2.0177,6.1681,2.4753,0.0691,0.669,0.7711,0.028,"(1, 2, 9)"
Lasso Least Angle Regression,2.0177,6.1681,2.4753,0.0691,0.669,0.7711,0.03,"(1, 2, 9)"
K Neighbors Regressor,2.1323,7.5034,2.7286,-0.1351,0.7212,0.7869,0.027,"(1, 2, 9)"
Dummy Regressor,2.1629,6.8588,2.6101,-0.0311,0.7041,0.8672,0.032,"(1, 2, 9)"
Passive Aggressive Regressor,2.6926,11.6451,3.3841,-0.7434,0.9025,0.9896,0.029,"(1, 2, 9)"
Least Angle Regression,1.841198973101552e+140,5.6145595198182434e+281,2.369506176362122e+140,-7.920844064216011e+280,35.9763,8.65974164857445e+139,0.031,"(1, 2, 9)"
Extra Trees Regressor,1.4652,3.8416,1.9496,0.4879,0.5339,0.4596,0.145,"(1, 2, 10)"
Random Forest Regressor,1.6334,4.522,2.1193,0.3966,0.5706,0.5275,0.298,"(1, 2, 10)"
Light Gradient Boosting Machine,1.6569,4.7671,2.1735,0.3644,0.5736,0.5269,0.086,"(1, 2, 10)"
Gradient Boosting Regressor,1.6977,4.9667,2.2218,0.3338,0.595,0.541,0.217,"(1, 2, 10)"
Linear Regression,1.8214,5.3897,2.3165,0.2798,0.6195,0.6628,0.032,"(1, 2, 10)"
Ridge Regression,1.9103,5.5992,2.3582,0.2528,0.6383,0.6975,0.031,"(1, 2, 10)"
Bayesian Ridge,1.9266,5.6767,2.376,0.2415,0.6429,0.7027,0.033,"(1, 2, 10)"
AdaBoost Regressor,2.0537,5.9485,2.4349,0.203,0.6806,0.7738,0.107,"(1, 2, 10)"
Huber Regressor,2.0543,6.428,2.5324,0.1371,0.6735,0.7428,0.034,"(1, 2, 10)"
Decision Tree Regressor,2.0872,9.0628,2.9946,-0.231,0.7572,0.6466,0.033,"(1, 2, 10)"
Orthogonal Matching Pursuit,2.1691,6.8425,2.6122,0.0811,0.6943,0.8049,0.031,"(1, 2, 10)"
Elastic Net,2.1796,6.8712,2.6184,0.0778,0.696,0.8086,0.033,"(1, 2, 10)"
Lasso Regression,2.1987,6.9335,2.6303,0.0695,0.7019,0.8132,0.033,"(1, 2, 10)"
Lasso Least Angle Regression,2.1987,6.9335,2.6303,0.0695,0.7019,0.8132,0.033,"(1, 2, 10)"
K Neighbors Regressor,2.3041,7.9842,2.8185,-0.0727,0.746,0.8497,0.033,"(1, 2, 10)"
Dummy Regressor,2.3966,7.7227,2.7748,-0.033,0.7426,0.9308,0.037,"(1, 2, 10)"
Passive Aggressive Regressor,4.5995,38.3954,5.5327,-4.4971,1.0732,2.4289,0.031,"(1, 2, 10)"
Least Angle Regression,168193.2641,330503194151.833,221517.1951,-49310356618.4342,7.842,98952.7161,0.033,"(1, 2, 10)"
Extra Trees Regressor,1.4456,3.9684,1.9859,0.4739,0.5631,0.4231,0.148,"(1, 2, 12)"
Light Gradient Boosting Machine,1.559,4.5067,2.114,0.4008,0.5877,0.4726,0.095,"(1, 2, 12)"
Random Forest Regressor,1.6214,4.792,2.1834,0.3635,0.6053,0.4915,0.311,"(1, 2, 12)"
Gradient Boosting Regressor,1.6419,4.8925,2.2077,0.3529,0.6087,0.4927,0.222,"(1, 2, 12)"
Decision Tree Regressor,1.9231,8.0613,2.8235,-0.0718,0.7638,0.632,0.035,"(1, 2, 12)"
Linear Regression,1.9238,6.1907,2.4773,0.1784,0.6643,0.6534,0.035,"(1, 2, 12)"
AdaBoost Regressor,1.9848,6.0522,2.456,0.1998,0.7007,0.7119,0.099,"(1, 2, 12)"
Ridge Regression,1.9913,6.2929,2.4985,0.1688,0.6818,0.6705,0.036,"(1, 2, 12)"
Bayesian Ridge,2.0281,6.3719,2.5156,0.1582,0.6893,0.6895,0.035,"(1, 2, 12)"
Huber Regressor,2.0865,6.9308,2.6256,0.0851,0.7009,0.6801,0.041,"(1, 2, 12)"
Orthogonal Matching Pursuit,2.1529,6.8858,2.6162,0.0915,0.7151,0.763,0.035,"(1, 2, 12)"
Elastic Net,2.2115,7.2046,2.6809,0.0508,0.7289,0.7975,0.033,"(1, 2, 12)"
Lasso Regression,2.2289,7.2742,2.6943,0.0421,0.7343,0.807,0.037,"(1, 2, 12)"
Lasso Least Angle Regression,2.2289,7.2741,2.6943,0.0421,0.7343,0.807,0.037,"(1, 2, 12)"
K Neighbors Regressor,2.2888,8.08,2.8371,-0.0714,0.754,0.8189,0.035,"(1, 2, 12)"
Dummy Regressor,2.3348,7.7322,2.7774,-0.0157,0.7533,0.8852,0.037,"(1, 2, 12)"
Passive Aggressive Regressor,2.8935,12.9749,3.5356,-0.7048,0.8797,1.2059,0.035,"(1, 2, 12)"
Least Angle Regression,307603.055,646656882913.1671,492712.6958,-87932036092.5059,7.2299,170797.9006,0.037,"(1, 2, 12)"
Extra Trees Regressor,1.3401,3.4627,1.8405,0.4616,0.5209,0.4674,0.146,"(1, 2, 13)"
Random Forest Regressor,1.4167,3.7288,1.9132,0.4235,0.5426,0.4974,0.308,"(1, 2, 13)"
Light Gradient Boosting Machine,1.4269,3.6756,1.8999,0.4282,0.5343,0.5141,0.095,"(1, 2, 13)"
Gradient Boosting Regressor,1.4996,3.9639,1.9748,0.3872,0.5582,0.5317,0.225,"(1, 2, 13)"
Linear Regression,1.7392,4.9248,2.2104,0.2284,0.6153,0.6491,0.038,"(1, 2, 13)"
Ridge Regression,1.7667,5.0223,2.2286,0.2185,0.6255,0.6533,0.038,"(1, 2, 13)"
Decision Tree Regressor,1.7722,7.0093,2.6153,-0.0816,0.6942,0.6907,0.044,"(1, 2, 13)"
AdaBoost Regressor,1.7919,4.8058,2.1826,0.2489,0.6434,0.7025,0.115,"(1, 2, 13)"
Bayesian Ridge,1.7939,5.0977,2.2458,0.207,0.6317,0.6619,0.038,"(1, 2, 13)"
Huber Regressor,1.8917,5.6903,2.3745,0.1131,0.6493,0.6586,0.042,"(1, 2, 13)"
Orthogonal Matching Pursuit,1.9722,5.8154,2.4024,0.092,0.6704,0.7505,0.037,"(1, 2, 13)"
Elastic Net,1.9879,5.9152,2.4225,0.0771,0.6775,0.7533,0.038,"(1, 2, 13)"
Lasso Regression,1.9974,5.9669,2.4326,0.0696,0.6822,0.7565,0.04,"(1, 2, 13)"
Lasso Least Angle Regression,1.9974,5.9669,2.4326,0.0696,0.6822,0.7565,0.037,"(1, 2, 13)"
K Neighbors Regressor,2.0315,6.7224,2.5807,-0.0495,0.7129,0.7465,0.04,"(1, 2, 13)"
Dummy Regressor,2.1255,6.4823,2.5362,-0.011,0.7078,0.8391,0.041,"(1, 2, 13)"
Passive Aggressive Regressor,3.572,21.2045,4.4031,-2.5326,0.9762,1.7973,0.039,"(1, 2, 13)"
Least Angle Regression,1235976.3014,12962349957602.713,1787874.9277,-2280023598059.3096,6.2248,594537.2893,0.04,"(1, 2, 13)"
Extra Trees Regressor,1.3129,3.3791,1.8226,0.4967,0.4997,0.4228,0.143,"(1, 2, 15)"
Light Gradient Boosting Machine,1.4018,3.7328,1.9258,0.4306,0.5259,0.4626,0.094,"(1, 2, 15)"
Random Forest Regressor,1.4267,3.8505,1.948,0.4232,0.5312,0.4715,0.297,"(1, 2, 15)"
Gradient Boosting Regressor,1.4939,4.1258,2.0191,0.3825,0.5452,0.4858,0.22,"(1, 2, 15)"
Linear Regression,1.8012,5.5367,2.3337,0.1655,0.617,0.6539,0.041,"(1, 2, 15)"
Ridge Regression,1.8035,5.4154,2.3054,0.1892,0.6121,0.6687,0.047,"(1, 2, 15)"
AdaBoost Regressor,1.8319,5.0961,2.2442,0.2365,0.6304,0.7298,0.113,"(1, 2, 15)"
Bayesian Ridge,1.842,5.5388,2.3323,0.1706,0.6207,0.6888,0.043,"(1, 2, 15)"
Huber Regressor,1.9119,5.9968,2.4229,0.1053,0.6309,0.6763,0.045,"(1, 2, 15)"
Decision Tree Regressor,1.9285,8.5401,2.8989,-0.3055,0.7591,0.6861,0.043,"(1, 2, 15)"
Orthogonal Matching Pursuit,2.0057,6.1387,2.461,0.0777,0.6644,0.7846,0.043,"(1, 2, 15)"
Elastic Net,2.0158,6.2256,2.476,0.0721,0.6587,0.789,0.045,"(1, 2, 15)"
Lasso Regression,2.0269,6.2619,2.4841,0.0664,0.6614,0.7976,0.042,"(1, 2, 15)"
Lasso Least Angle Regression,2.0269,6.2619,2.4841,0.0664,0.6614,0.7976,0.042,"(1, 2, 15)"
K Neighbors Regressor,2.1268,7.2984,2.6848,-0.1004,0.7024,0.8237,0.042,"(1, 2, 15)"
Dummy Regressor,2.2189,7.072,2.6451,-0.0534,0.7022,0.8977,0.045,"(1, 2, 15)"
Passive Aggressive Regressor,2.8966,13.8207,3.6919,-1.1707,0.9315,1.1326,0.042,"(1, 2, 15)"
Least Angle Regression,9992.9563,2795613353.3298,17319.0299,-555059154.7887,3.7052,6966.537,0.042,"(1, 2, 15)"
Extra Trees Regressor,1.3682,3.45,1.8496,0.4861,0.5209,0.46,0.15,"(1, 2, 16)"
Light Gradient Boosting Machine,1.4566,3.8433,1.9489,0.4232,0.544,0.4916,0.097,"(1, 2, 16)"
Gradient Boosting Regressor,1.4627,3.7293,1.9246,0.4414,0.5385,0.5042,0.229,"(1, 2, 16)"
Random Forest Regressor,1.4923,3.9139,1.9713,0.4186,0.5496,0.4955,0.31,"(1, 2, 16)"
Linear Regression,1.7656,5.1077,2.2546,0.2439,0.6129,0.6347,0.046,"(1, 2, 16)"
AdaBoost Regressor,1.8329,4.9206,2.2146,0.2713,0.6444,0.7125,0.116,"(1, 2, 16)"
Ridge Regression,1.8423,5.2807,2.2893,0.2218,0.6263,0.6671,0.046,"(1, 2, 16)"
Decision Tree Regressor,1.8497,7.155,2.6548,-0.0809,0.6931,0.6267,0.049,"(1, 2, 16)"
Bayesian Ridge,1.8685,5.3607,2.3077,0.2107,0.6318,0.6773,0.043,"(1, 2, 16)"
Huber Regressor,1.9365,5.9354,2.4271,0.1278,0.6469,0.6804,0.049,"(1, 2, 16)"
Orthogonal Matching Pursuit,1.9728,5.8688,2.4151,0.1372,0.6571,0.734,0.044,"(1, 2, 16)"
Elastic Net,2.0083,6.1389,2.4692,0.1001,0.669,0.743,0.046,"(1, 2, 16)"
Lasso Regression,2.0236,6.2029,2.4822,0.091,0.6749,0.7492,0.046,"(1, 2, 16)"
Lasso Least Angle Regression,2.0236,6.2029,2.4822,0.091,0.6749,0.7492,0.048,"(1, 2, 16)"
K Neighbors Regressor,2.1093,6.9091,2.6144,-0.0086,0.7064,0.7534,0.047,"(1, 2, 16)"
Dummy Regressor,2.2,6.9136,2.6204,-0.0112,0.7103,0.847,0.049,"(1, 2, 16)"
Passive Aggressive Regressor,4.4405,36.1479,5.3777,-4.7649,1.1031,1.9418,0.045,"(1, 2, 16)"
Least Angle Regression,35657.3896,8160207429.0476,50296.3486,-1282443365.8675,6.0502,17692.6414,0.047,"(1, 2, 16)"
Extra Trees Regressor,1.4506,3.8204,1.9382,0.488,0.5208,0.5162,0.151,"(1, 2, 17)"
Light Gradient Boosting Machine,1.5255,4.1392,2.0136,0.4445,0.5403,0.5591,0.099,"(1, 2, 17)"
Random Forest Regressor,1.571,4.2606,2.0442,0.4317,0.5511,0.5515,0.309,"(1, 2, 17)"
Gradient Boosting Regressor,1.6487,4.6003,2.1296,0.3821,0.5692,0.5843,0.23,"(1, 2, 17)"
Linear Regression,1.8724,5.7483,2.3825,0.2293,0.6355,0.7063,0.048,"(1, 2, 17)"
Decision Tree Regressor,1.9497,8.2042,2.8434,-0.1045,0.72,0.6835,0.049,"(1, 2, 17)"
Ridge Regression,1.9742,6.0239,2.4456,0.1896,0.6607,0.7534,0.05,"(1, 2, 17)"
Bayesian Ridge,2.0096,6.142,2.4692,0.1752,0.6723,0.7667,0.049,"(1, 2, 17)"
AdaBoost Regressor,2.0404,5.9318,2.4237,0.2055,0.6919,0.8328,0.117,"(1, 2, 17)"
Huber Regressor,2.0859,6.677,2.5729,0.1045,0.6861,0.7535,0.052,"(1, 2, 17)"
Orthogonal Matching Pursuit,2.173,6.8359,2.6047,0.083,0.7057,0.8502,0.047,"(1, 2, 17)"
Elastic Net,2.1763,6.8374,2.6057,0.0819,0.7072,0.8472,0.046,"(1, 2, 17)"
Lasso Regression,2.1916,6.8949,2.6165,0.0744,0.7118,0.8506,0.047,"(1, 2, 17)"
Lasso Least Angle Regression,2.1916,6.8949,2.6165,0.0744,0.7118,0.8506,0.048,"(1, 2, 17)"
K Neighbors Regressor,2.3276,8.1885,2.853,-0.1074,0.7603,0.9145,0.048,"(1, 2, 17)"
Dummy Regressor,2.3338,7.5459,2.7394,-0.0157,0.7455,0.93,0.052,"(1, 2, 17)"
Passive Aggressive Regressor,5.7561,54.8898,6.8724,-6.5128,1.2201,3.0826,0.056,"(1, 2, 17)"
Least Angle Regression,255296.0151,2323319793045.958,484113.3208,-263591126975.0977,3.9607,132694.8667,0.049,"(1, 2, 17)"
Extra Trees Regressor,1.5041,3.9948,1.991,0.4224,0.5518,0.4863,0.162,"(1, 3, 4)"
Light Gradient Boosting Machine,1.6053,4.4189,2.0931,0.3625,0.5781,0.5324,0.104,"(1, 3, 4)"
Random Forest Regressor,1.654,4.6304,2.1459,0.3302,0.5833,0.5461,0.345,"(1, 3, 4)"
Gradient Boosting Regressor,1.6759,4.7833,2.1799,0.3073,0.5951,0.5346,0.24,"(1, 3, 4)"
Linear Regression,1.9226,6.074,2.4572,0.1159,0.6546,0.6826,0.052,"(1, 3, 4)"
Ridge Regression,1.9992,6.0966,2.4631,0.1149,0.664,0.7071,0.053,"(1, 3, 4)"
Decision Tree Regressor,2.0455,8.6591,2.9341,-0.271,0.7943,0.6739,0.054,"(1, 3, 4)"
Huber Regressor,2.051,6.4589,2.5382,0.061,0.6713,0.7068,0.056,"(1, 3, 4)"
AdaBoost Regressor,2.0754,6.1088,2.4687,0.1108,0.6922,0.8079,0.119,"(1, 3, 4)"
Bayesian Ridge,2.0895,6.4661,2.5389,0.0617,0.6873,0.7605,0.054,"(1, 3, 4)"
Orthogonal Matching Pursuit,2.0927,6.5085,2.5481,0.0553,0.683,0.7719,0.052,"(1, 3, 4)"
Elastic Net,2.1175,6.5549,2.5574,0.0478,0.6902,0.7868,0.051,"(1, 3, 4)"
Lasso Regression,2.1281,6.5957,2.5655,0.0418,0.6935,0.7939,0.052,"(1, 3, 4)"
Lasso Least Angle Regression,2.1281,6.5957,2.5655,0.0418,0.6935,0.7939,0.052,"(1, 3, 4)"
K Neighbors Regressor,2.2266,7.6873,2.7668,-0.1157,0.7303,0.8219,0.052,"(1, 3, 4)"
Dummy Regressor,2.2506,7.083,2.6591,-0.0293,0.7143,0.8784,0.054,"(1, 3, 4)"
Passive Aggressive Regressor,2.87,14.5418,3.6763,-1.1029,0.8904,0.9312,0.052,"(1, 3, 4)"
Least Angle Regression,9214.7056,1644267877.6204,15003.809,-241751226.368,4.2593,4383.981,0.054,"(1, 3, 4)"
Extra Trees Regressor,1.4105,3.6,1.8878,0.4494,0.5303,0.4322,0.164,"(1, 3, 5)"
Random Forest Regressor,1.5611,4.2209,2.0481,0.3519,0.571,0.4874,0.331,"(1, 3, 5)"
Light Gradient Boosting Machine,1.5663,4.4071,2.0919,0.3216,0.5755,0.4956,0.105,"(1, 3, 5)"
Gradient Boosting Regressor,1.5931,4.4444,2.0996,0.3176,0.575,0.5094,0.24,"(1, 3, 5)"
Linear Regression,1.8542,5.6083,2.358,0.136,0.6356,0.6557,0.055,"(1, 3, 5)"
Decision Tree Regressor,1.9143,7.6143,2.7443,-0.1736,0.729,0.5944,0.057,"(1, 3, 5)"
AdaBoost Regressor,1.9247,5.3594,2.3092,0.1739,0.6523,0.7326,0.123,"(1, 3, 5)"
Ridge Regression,1.9385,5.7986,2.4014,0.1077,0.6491,0.6909,0.057,"(1, 3, 5)"
Huber Regressor,1.9816,6.1517,2.4734,0.0519,0.6488,0.6748,0.056,"(1, 3, 5)"
Bayesian Ridge,1.9859,5.9128,2.4271,0.0883,0.6558,0.7214,0.056,"(1, 3, 5)"
Orthogonal Matching Pursuit,2.0335,6.1741,2.4812,0.0464,0.6681,0.7541,0.055,"(1, 3, 5)"
