Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Least Angle Regression,3.6472,17.7758,4.2118,0.009,0.3338,0.3459,0.063,"('subject_1', 'subject_10', 'subject_15')"
Elastic Net,3.6662,17.872,4.2227,0.0045,0.3363,0.3505,0.073,"('subject_1', 'subject_10', 'subject_15')"
Lasso Least Angle Regression,3.6704,17.8949,4.2254,0.0033,0.3364,0.3508,0.057,"('subject_1', 'subject_10', 'subject_15')"
Lasso Regression,3.6704,17.8949,4.2254,0.0033,0.3364,0.3508,0.077,"('subject_1', 'subject_10', 'subject_15')"
Bayesian Ridge,3.6723,17.9162,4.2279,0.002,0.3365,0.3509,0.087,"('subject_1', 'subject_10', 'subject_15')"
Huber Regressor,3.6755,18.1809,4.2591,-0.0133,0.3403,0.3561,0.067,"('subject_1', 'subject_10', 'subject_15')"
Dummy Regressor,3.682,18.0384,4.2424,-0.0048,0.3373,0.3516,0.058,"('subject_1', 'subject_10', 'subject_15')"
Orthogonal Matching Pursuit,3.6925,18.0546,4.244,-0.0055,0.3376,0.3526,0.082,"('subject_1', 'subject_10', 'subject_15')"
K Neighbors Regressor,3.7555,19.6942,4.4333,-0.1013,0.3495,0.3603,0.057,"('subject_1', 'subject_10', 'subject_15')"
Decision Tree Regressor,4.2832,29.4798,5.4199,-0.6548,0.4164,0.3765,0.064,"('subject_1', 'subject_10', 'subject_15')"
Passive Aggressive Regressor,4.8315,34.368,5.7669,-0.9433,0.4407,0.3989,0.061,"('subject_1', 'subject_10', 'subject_15')"
Random Forest Regressor,3.4474,16.3381,4.0398,0.0667,0.3129,0.3151,0.329,"('subject_1', 'subject_10', 'subject_16')"
Gradient Boosting Regressor,3.4541,15.9359,3.99,0.0903,0.3109,0.3173,0.19,"('subject_1', 'subject_10', 'subject_16')"
Light Gradient Boosting Machine,3.485,17.7016,4.2034,-0.0115,0.3222,0.3162,0.131,"('subject_1', 'subject_10', 'subject_16')"
Extra Trees Regressor,3.5429,17.5618,4.1871,-0.0011,0.3228,0.3233,0.258,"('subject_1', 'subject_10', 'subject_16')"
AdaBoost Regressor,3.5615,16.4482,4.0546,0.0611,0.3204,0.3325,0.107,"('subject_1', 'subject_10', 'subject_16')"
Linear Regression,3.591,17.2433,4.151,0.0168,0.3296,0.3406,0.106,"('subject_1', 'subject_10', 'subject_16')"
Ridge Regression,3.5928,17.2409,4.1507,0.0169,0.3297,0.341,0.105,"('subject_1', 'subject_10', 'subject_16')"
Least Angle Regression,3.6032,17.4593,4.1768,0.004,0.3313,0.3417,0.099,"('subject_1', 'subject_10', 'subject_16')"
Elastic Net,3.6414,17.6846,4.2035,-0.0081,0.3359,0.3492,0.124,"('subject_1', 'subject_10', 'subject_16')"
Huber Regressor,3.6425,17.8405,4.2222,-0.0173,0.3378,0.3521,0.096,"('subject_1', 'subject_10', 'subject_16')"
Dummy Regressor,3.644,17.6856,4.2036,-0.008,0.3358,0.3492,0.068,"('subject_1', 'subject_10', 'subject_16')"
Lasso Regression,3.645,17.6972,4.2049,-0.0087,0.3359,0.3494,0.07,"('subject_1', 'subject_10', 'subject_16')"
Lasso Least Angle Regression,3.645,17.6972,4.2049,-0.0087,0.3359,0.3494,0.116,"('subject_1', 'subject_10', 'subject_16')"
Bayesian Ridge,3.6452,17.6971,4.2049,-0.0087,0.336,0.3494,0.058,"('subject_1', 'subject_10', 'subject_16')"
Orthogonal Matching Pursuit,3.6475,17.6865,4.2038,-0.0081,0.3359,0.3496,0.106,"('subject_1', 'subject_10', 'subject_16')"
K Neighbors Regressor,3.7583,19.8321,4.4514,-0.1318,0.3511,0.3574,0.083,"('subject_1', 'subject_10', 'subject_16')"
Passive Aggressive Regressor,3.8734,21.0941,4.5669,-0.1937,0.3598,0.3685,0.088,"('subject_1', 'subject_10', 'subject_16')"
Decision Tree Regressor,4.5966,32.6088,5.7052,-0.8673,0.4433,0.4052,0.049,"('subject_1', 'subject_10', 'subject_16')"
Random Forest Regressor,3.4999,16.727,4.0868,0.0464,0.3161,0.3204,0.289,"('subject_1', 'subject_10', 'subject_17')"
Gradient Boosting Regressor,3.5537,17.1099,4.1327,0.0253,0.3213,0.3279,0.16,"('subject_1', 'subject_10', 'subject_17')"
Light Gradient Boosting Machine,3.57,18.1613,4.2561,-0.0358,0.3262,0.3226,0.106,"('subject_1', 'subject_10', 'subject_17')"
AdaBoost Regressor,3.5772,16.9163,4.1106,0.0363,0.3226,0.3318,0.077,"('subject_1', 'subject_10', 'subject_17')"
Linear Regression,3.5811,17.3748,4.1655,0.0104,0.3296,0.3392,0.108,"('subject_1', 'subject_10', 'subject_17')"
Ridge Regression,3.5815,17.3717,4.1652,0.0105,0.3298,0.3394,0.078,"('subject_1', 'subject_10', 'subject_17')"
Orthogonal Matching Pursuit,3.585,17.437,4.1732,0.0071,0.3318,0.3419,0.092,"('subject_1', 'subject_10', 'subject_17')"
Elastic Net,3.5952,17.4737,4.1778,0.005,0.3321,0.3427,0.083,"('subject_1', 'subject_10', 'subject_17')"
Lasso Least Angle Regression,3.602,17.5086,4.1821,0.003,0.3323,0.3432,0.074,"('subject_1', 'subject_10', 'subject_17')"
Lasso Regression,3.602,17.5086,4.1821,0.003,0.3323,0.3432,0.087,"('subject_1', 'subject_10', 'subject_17')"
Bayesian Ridge,3.6085,17.6048,4.1938,-0.0027,0.3331,0.3437,0.103,"('subject_1', 'subject_10', 'subject_17')"
Dummy Regressor,3.6199,17.66,4.2003,-0.0057,0.3333,0.3443,0.054,"('subject_1', 'subject_10', 'subject_17')"
Huber Regressor,3.6205,17.9703,4.2366,-0.0243,0.3375,0.3497,0.075,"('subject_1', 'subject_10', 'subject_17')"
Extra Trees Regressor,3.6678,18.8461,4.3357,-0.0731,0.3346,0.3367,0.218,"('subject_1', 'subject_10', 'subject_17')"
K Neighbors Regressor,3.7674,19.7604,4.4399,-0.1238,0.3482,0.3577,0.073,"('subject_1', 'subject_10', 'subject_17')"
Least Angle Regression,3.8785,23.2106,4.6203,-0.3332,0.3548,0.3665,0.101,"('subject_1', 'subject_10', 'subject_17')"
Decision Tree Regressor,4.5143,31.6299,5.6168,-0.8065,0.4326,0.3915,0.079,"('subject_1', 'subject_10', 'subject_17')"
Passive Aggressive Regressor,4.7775,34.0451,5.7025,-0.9184,0.4263,0.4323,0.06,"('subject_1', 'subject_10', 'subject_17')"
Gradient Boosting Regressor,3.456,16.2571,4.0253,0.1067,0.3128,0.3175,0.178,"('subject_1', 'subject_10', 'subject_18')"
Random Forest Regressor,3.4629,16.5569,4.0615,0.0907,0.3132,0.3149,0.347,"('subject_1', 'subject_10', 'subject_18')"
Extra Trees Regressor,3.5527,17.5387,4.1796,0.0373,0.3196,0.3205,0.271,"('subject_1', 'subject_10', 'subject_18')"
Light Gradient Boosting Machine,3.5554,18.2487,4.2636,-0.0031,0.3254,0.3215,0.169,"('subject_1', 'subject_10', 'subject_18')"
AdaBoost Regressor,3.5749,16.8058,4.0943,0.0767,0.3221,0.3325,0.093,"('subject_1', 'subject_10', 'subject_18')"
Linear Regression,3.6339,17.6466,4.1934,0.0323,0.3323,0.3449,0.098,"('subject_1', 'subject_10', 'subject_18')"
Ridge Regression,3.6361,17.6456,4.1934,0.0322,0.3324,0.3453,0.105,"('subject_1', 'subject_10', 'subject_18')"
Least Angle Regression,3.6422,17.9104,4.224,0.0182,0.336,0.3459,0.084,"('subject_1', 'subject_10', 'subject_18')"
Bayesian Ridge,3.6863,18.0751,4.2462,0.0072,0.3385,0.3532,0.099,"('subject_1', 'subject_10', 'subject_18')"
Orthogonal Matching Pursuit,3.6867,18.1215,4.2513,0.005,0.3389,0.3535,0.109,"('subject_1', 'subject_10', 'subject_18')"
Elastic Net,3.6947,18.1367,4.2532,0.0041,0.339,0.3541,0.109,"('subject_1', 'subject_10', 'subject_18')"
Huber Regressor,3.6962,18.3763,4.281,-0.0093,0.3414,0.3574,0.069,"('subject_1', 'subject_10', 'subject_18')"
Lasso Regression,3.7055,18.1984,4.2605,0.0006,0.3395,0.3549,0.094,"('subject_1', 'subject_10', 'subject_18')"
Lasso Least Angle Regression,3.7055,18.1984,4.2605,0.0006,0.3395,0.3549,0.088,"('subject_1', 'subject_10', 'subject_18')"
Dummy Regressor,3.7195,18.3044,4.2732,-0.0055,0.3402,0.3559,0.073,"('subject_1', 'subject_10', 'subject_18')"
K Neighbors Regressor,3.7838,19.8453,4.4479,-0.0908,0.3503,0.3622,0.083,"('subject_1', 'subject_10', 'subject_18')"
Passive Aggressive Regressor,4.2627,26.4057,5.0218,-0.4508,0.393,0.3569,0.067,"('subject_1', 'subject_10', 'subject_18')"
Decision Tree Regressor,4.5416,32.8221,5.7202,-0.8108,0.4384,0.4001,0.08,"('subject_1', 'subject_10', 'subject_18')"
Random Forest Regressor,3.4266,16.3484,4.0402,0.0823,0.3129,0.3145,0.405,"('subject_1', 'subject_10', 'subject_19')"
Gradient Boosting Regressor,3.4938,16.5405,4.0638,0.0712,0.3177,0.3242,0.234,"('subject_1', 'subject_10', 'subject_19')"
Light Gradient Boosting Machine,3.4984,17.7194,4.2049,0.0055,0.3238,0.3169,0.173,"('subject_1', 'subject_10', 'subject_19')"
Extra Trees Regressor,3.523,17.4379,4.1699,0.0222,0.3218,0.3227,0.307,"('subject_1', 'subject_10', 'subject_19')"
AdaBoost Regressor,3.5606,16.7133,4.0824,0.0643,0.3232,0.334,0.126,"('subject_1', 'subject_10', 'subject_19')"
Linear Regression,3.6119,17.6839,4.2015,0.0079,0.3341,0.3444,0.079,"('subject_1', 'subject_10', 'subject_19')"
Ridge Regression,3.6143,17.6844,4.2015,0.008,0.3342,0.3449,0.081,"('subject_1', 'subject_10', 'subject_19')"
Orthogonal Matching Pursuit,3.6393,17.915,4.2265,-0.0025,0.3384,0.3509,0.075,"('subject_1', 'subject_10', 'subject_19')"
Elastic Net,3.6513,17.9856,4.235,-0.0066,0.3389,0.3517,0.069,"('subject_1', 'subject_10', 'subject_19')"
Lasso Least Angle Regression,3.652,17.987,4.235,-0.0064,0.3389,0.3518,0.079,"('subject_1', 'subject_10', 'subject_19')"
Lasso Regression,3.652,17.987,4.235,-0.0064,0.3389,0.3518,0.089,"('subject_1', 'subject_10', 'subject_19')"
Bayesian Ridge,3.658,18.0422,4.2415,-0.0096,0.3392,0.3522,0.077,"('subject_1', 'subject_10', 'subject_19')"
Dummy Regressor,3.6613,18.0574,4.2432,-0.0104,0.3393,0.3523,0.138,"('subject_1', 'subject_10', 'subject_19')"
Least Angle Regression,3.664,18.4262,4.2816,-0.0332,0.3413,0.3488,0.069,"('subject_1', 'subject_10', 'subject_19')"
Huber Regressor,3.6668,18.2344,4.2645,-0.0216,0.3416,0.3568,0.081,"('subject_1', 'subject_10', 'subject_19')"
K Neighbors Regressor,3.7422,19.9283,4.4586,-0.1183,0.3521,0.362,0.108,"('subject_1', 'subject_10', 'subject_19')"
Decision Tree Regressor,4.3899,30.7126,5.5367,-0.7363,0.4241,0.3925,0.106,"('subject_1', 'subject_10', 'subject_19')"
Passive Aggressive Regressor,4.5351,32.2993,5.5696,-0.8003,0.4368,0.4401,0.077,"('subject_1', 'subject_10', 'subject_19')"
Gradient Boosting Regressor,3.4236,15.9769,3.9931,0.119,0.311,0.3156,0.212,"('subject_1', 'subject_10', 'subject_2')"
Random Forest Regressor,3.4407,16.5011,4.0581,0.0879,0.313,0.3131,0.458,"('subject_1', 'subject_10', 'subject_2')"
Extra Trees Regressor,3.4845,16.988,4.1175,0.0631,0.3171,0.3182,0.328,"('subject_1', 'subject_10', 'subject_2')"
Light Gradient Boosting Machine,3.4998,17.6424,4.1961,0.0249,0.3223,0.3177,0.144,"('subject_1', 'subject_10', 'subject_2')"
AdaBoost Regressor,3.5759,16.7675,4.0909,0.0767,0.324,0.3364,0.088,"('subject_1', 'subject_10', 'subject_2')"
Linear Regression,3.6326,17.7488,4.2068,0.0241,0.3347,0.3471,0.12,"('subject_1', 'subject_10', 'subject_2')"
Ridge Regression,3.6351,17.7489,4.207,0.024,0.3349,0.3475,0.085,"('subject_1', 'subject_10', 'subject_2')"
Least Angle Regression,3.6564,18.0733,4.2438,0.007,0.3371,0.3495,0.124,"('subject_1', 'subject_10', 'subject_2')"
Orthogonal Matching Pursuit,3.6721,18.1336,4.2547,0.0013,0.3404,0.3544,0.112,"('subject_1', 'subject_10', 'subject_2')"
Elastic Net,3.6824,18.1727,4.2593,-0.0009,0.3407,0.3551,0.102,"('subject_1', 'subject_10', 'subject_2')"
Lasso Regression,3.6885,18.2041,4.2629,-0.0025,0.3409,0.3555,0.114,"('subject_1', 'subject_10', 'subject_2')"
Lasso Least Angle Regression,3.6885,18.2041,4.2629,-0.0025,0.3409,0.3555,0.112,"('subject_1', 'subject_10', 'subject_2')"
Huber Regressor,3.6925,18.4895,4.2957,-0.0182,0.3443,0.3601,0.178,"('subject_1', 'subject_10', 'subject_2')"
Bayesian Ridge,3.6932,18.2332,4.2664,-0.0042,0.3411,0.3559,0.133,"('subject_1', 'subject_10', 'subject_2')"
Dummy Regressor,3.6975,18.283,4.2722,-0.0069,0.3413,0.356,0.096,"('subject_1', 'subject_10', 'subject_2')"
K Neighbors Regressor,3.7104,19.2947,4.3877,-0.0633,0.3468,0.3586,0.116,"('subject_1', 'subject_10', 'subject_2')"
Decision Tree Regressor,4.3042,29.6134,5.4348,-0.6444,0.4163,0.3744,0.106,"('subject_1', 'subject_10', 'subject_2')"
Passive Aggressive Regressor,5.2204,41.5273,6.2786,-1.2927,0.5134,0.4952,0.113,"('subject_1', 'subject_10', 'subject_2')"
Random Forest Regressor,3.4843,16.5124,4.0626,0.0673,0.3147,0.3188,0.422,"('subject_1', 'subject_10', 'subject_20')"
Extra Trees Regressor,3.5178,17.3178,4.1574,0.0222,0.3208,0.3214,0.265,"('subject_1', 'subject_10', 'subject_20')"
Light Gradient Boosting Machine,3.5248,17.8092,4.2176,-0.0059,0.3239,0.3199,0.176,"('subject_1', 'subject_10', 'subject_20')"
Gradient Boosting Regressor,3.5464,16.7471,4.0905,0.0551,0.3194,0.3278,0.264,"('subject_1', 'subject_10', 'subject_20')"
AdaBoost Regressor,3.616,17.1393,4.1385,0.0335,0.3264,0.3384,0.157,"('subject_1', 'subject_10', 'subject_20')"
Linear Regression,3.6348,17.6136,4.1948,0.0076,0.3318,0.344,0.111,"('subject_1', 'subject_10', 'subject_20')"
Least Angle Regression,3.6363,17.6668,4.201,0.0046,0.332,0.3439,0.122,"('subject_1', 'subject_10', 'subject_20')"
Ridge Regression,3.6369,17.613,4.1947,0.0076,0.332,0.3445,0.113,"('subject_1', 'subject_10', 'subject_20')"
Dummy Regressor,3.6763,18.0163,4.2421,-0.0146,0.3373,0.3513,0.151,"('subject_1', 'subject_10', 'subject_20')"
Lasso Least Angle Regression,3.678,18.0055,4.2408,-0.014,0.3373,0.3515,0.146,"('subject_1', 'subject_10', 'subject_20')"
Lasso Regression,3.678,18.0055,4.2408,-0.014,0.3373,0.3515,0.125,"('subject_1', 'subject_10', 'subject_20')"
Elastic Net,3.6791,18.0148,4.2419,-0.0146,0.3375,0.3517,0.112,"('subject_1', 'subject_10', 'subject_20')"
Orthogonal Matching Pursuit,3.6798,18.0176,4.2424,-0.0149,0.3374,0.3515,0.167,"('subject_1', 'subject_10', 'subject_20')"
Bayesian Ridge,3.6851,18.0358,4.2444,-0.0158,0.3376,0.3521,0.104,"('subject_1', 'subject_10', 'subject_20')"
Huber Regressor,3.6924,18.2749,4.2726,-0.0297,0.3402,0.3559,0.136,"('subject_1', 'subject_10', 'subject_20')"
K Neighbors Regressor,3.7439,19.6523,4.427,-0.108,0.3481,0.357,0.11,"('subject_1', 'subject_10', 'subject_20')"
Decision Tree Regressor,4.4753,32.0591,5.6531,-0.8192,0.4345,0.3948,0.197,"('subject_1', 'subject_10', 'subject_20')"
Passive Aggressive Regressor,5.9205,51.2004,6.9716,-1.8922,0.5856,0.4897,0.118,"('subject_1', 'subject_10', 'subject_20')"
Random Forest Regressor,3.4961,16.7889,4.0938,0.0233,0.317,0.3193,0.459,"('subject_1', 'subject_10', 'subject_21')"
Gradient Boosting Regressor,3.5323,16.6914,4.0825,0.0307,0.3183,0.326,0.243,"('subject_1', 'subject_10', 'subject_21')"
AdaBoost Regressor,3.5382,16.5523,4.0656,0.0418,0.3219,0.3321,0.14,"('subject_1', 'subject_10', 'subject_21')"
Extra Trees Regressor,3.5608,17.5127,4.1805,-0.0173,0.3219,0.3243,0.316,"('subject_1', 'subject_10', 'subject_21')"
Light Gradient Boosting Machine,3.6035,18.4052,4.2838,-0.0699,0.3286,0.3243,0.228,"('subject_1', 'subject_10', 'subject_21')"
Ridge Regression,3.6142,17.4713,4.1758,-0.0096,0.3319,0.344,0.125,"('subject_1', 'subject_10', 'subject_21')"
Linear Regression,3.6148,17.4753,4.1764,-0.01,0.3318,0.3439,0.109,"('subject_1', 'subject_10', 'subject_21')"
Dummy Regressor,3.6196,17.6535,4.1984,-0.0205,0.3356,0.3479,0.139,"('subject_1', 'subject_10', 'subject_21')"
Lasso Regression,3.6225,17.6826,4.2019,-0.0222,0.3358,0.3482,0.109,"('subject_1', 'subject_10', 'subject_21')"
Lasso Least Angle Regression,3.6225,17.6826,4.2019,-0.0222,0.3358,0.3482,0.218,"('subject_1', 'subject_10', 'subject_21')"
Bayesian Ridge,3.6236,17.6868,4.2025,-0.0225,0.3359,0.3483,0.291,"('subject_1', 'subject_10', 'subject_21')"
Elastic Net,3.6243,17.7087,4.2051,-0.0238,0.3361,0.3484,0.139,"('subject_1', 'subject_10', 'subject_21')"
Orthogonal Matching Pursuit,3.6272,17.7493,4.2098,-0.0261,0.3362,0.3482,0.158,"('subject_1', 'subject_10', 'subject_21')"
Huber Regressor,3.6567,18.0193,4.2396,-0.0405,0.3387,0.3535,0.196,"('subject_1', 'subject_10', 'subject_21')"
K Neighbors Regressor,3.8182,20.205,4.4905,-0.1701,0.3537,0.3654,0.123,"('subject_1', 'subject_10', 'subject_21')"
Least Angle Regression,3.8812,22.184,4.6153,-0.2743,0.3572,0.3716,0.144,"('subject_1', 'subject_10', 'subject_21')"
Passive Aggressive Regressor,4.0405,23.8768,4.7902,-0.3909,0.3812,0.3857,0.122,"('subject_1', 'subject_10', 'subject_21')"
Decision Tree Regressor,4.4655,31.6034,5.6122,-0.8452,0.4368,0.3985,0.148,"('subject_1', 'subject_10', 'subject_21')"
Random Forest Regressor,3.3729,15.6322,3.9463,0.0795,0.3033,0.3045,0.4,"('subject_1', 'subject_10', 'subject_22')"
Light Gradient Boosting Machine,3.3887,16.5121,4.0544,0.0251,0.308,0.3018,0.178,"('subject_1', 'subject_10', 'subject_22')"
Gradient Boosting Regressor,3.4074,15.7006,3.9587,0.0727,0.3071,0.3109,0.328,"('subject_1', 'subject_10', 'subject_22')"
Extra Trees Regressor,3.4466,16.4418,4.0482,0.0306,0.3115,0.3118,0.282,"('subject_1', 'subject_10', 'subject_22')"
AdaBoost Regressor,3.4497,15.8345,3.9739,0.0682,0.3131,0.3209,0.185,"('subject_1', 'subject_10', 'subject_22')"
Least Angle Regression,3.4918,16.6971,4.0819,0.016,0.3217,0.3274,0.147,"('subject_1', 'subject_10', 'subject_22')"
Linear Regression,3.4927,16.6652,4.078,0.018,0.3216,0.3278,0.173,"('subject_1', 'subject_10', 'subject_22')"
Ridge Regression,3.4944,16.6651,4.0781,0.018,0.3218,0.3282,0.137,"('subject_1', 'subject_10', 'subject_22')"
Elastic Net,3.5103,16.846,4.1002,0.008,0.3256,0.3329,0.14,"('subject_1', 'subject_10', 'subject_22')"
Lasso Least Angle Regression,3.5137,16.8378,4.0994,0.0084,0.3256,0.3332,0.131,"('subject_1', 'subject_10', 'subject_22')"
Lasso Regression,3.5137,16.8378,4.0994,0.0084,0.3256,0.3332,0.155,"('subject_1', 'subject_10', 'subject_22')"
Orthogonal Matching Pursuit,3.5158,16.9362,4.111,0.0028,0.3264,0.3335,0.173,"('subject_1', 'subject_10', 'subject_22')"
Bayesian Ridge,3.5191,16.9208,4.1093,0.0036,0.3261,0.3336,0.129,"('subject_1', 'subject_10', 'subject_22')"
Dummy Regressor,3.533,17.0164,4.1213,-0.0023,0.327,0.3349,0.159,"('subject_1', 'subject_10', 'subject_22')"
Huber Regressor,3.5519,17.2382,4.1478,-0.0161,0.3289,0.3381,0.133,"('subject_1', 'subject_10', 'subject_22')"
K Neighbors Regressor,3.6443,18.5862,4.3059,-0.0998,0.3373,0.3437,0.129,"('subject_1', 'subject_10', 'subject_22')"
Decision Tree Regressor,4.2758,29.5109,5.4236,-0.7526,0.4139,0.3695,0.137,"('subject_1', 'subject_10', 'subject_22')"
Passive Aggressive Regressor,6.0646,52.0333,7.1361,-2.0863,0.54,0.5452,0.159,"('subject_1', 'subject_10', 'subject_22')"
Random Forest Regressor,3.3934,15.9701,3.9934,0.0917,0.3095,0.3108,0.497,"('subject_1', 'subject_10', 'subject_24')"
Extra Trees Regressor,3.4494,16.5889,4.0713,0.0585,0.3143,0.3159,0.453,"('subject_1', 'subject_10', 'subject_24')"
Gradient Boosting Regressor,3.5086,16.5768,4.0701,0.0584,0.3179,0.324,0.377,"('subject_1', 'subject_10', 'subject_24')"
Light Gradient Boosting Machine,3.5218,17.5358,4.1859,0.0021,0.3207,0.3193,0.219,"('subject_1', 'subject_10', 'subject_24')"
AdaBoost Regressor,3.54,16.5821,4.0699,0.0605,0.3212,0.3303,0.4,"('subject_1', 'subject_10', 'subject_24')"
Linear Regression,3.5806,17.3311,4.161,0.0184,0.331,0.3411,0.188,"('subject_1', 'subject_10', 'subject_24')"
Ridge Regression,3.582,17.3312,4.161,0.0185,0.331,0.3414,0.356,"('subject_1', 'subject_10', 'subject_24')"
Least Angle Regression,3.583,17.4388,4.1737,0.0124,0.3317,0.3408,0.181,"('subject_1', 'subject_10', 'subject_24')"
Elastic Net,3.6281,17.786,4.2147,-0.0064,0.3369,0.3489,0.138,"('subject_1', 'subject_10', 'subject_24')"
Orthogonal Matching Pursuit,3.6293,17.8493,4.2224,-0.0102,0.3375,0.3494,0.228,"('subject_1', 'subject_10', 'subject_24')"
Lasso Regression,3.6348,17.8312,4.2202,-0.009,0.3372,0.3494,0.144,"('subject_1', 'subject_10', 'subject_24')"
Lasso Least Angle Regression,3.6348,17.8312,4.2202,-0.009,0.3372,0.3494,0.138,"('subject_1', 'subject_10', 'subject_24')"
Dummy Regressor,3.6349,17.8293,4.2201,-0.009,0.3371,0.3492,0.165,"('subject_1', 'subject_10', 'subject_24')"
Bayesian Ridge,3.6395,17.8733,4.2251,-0.0113,0.3375,0.3498,0.16,"('subject_1', 'subject_10', 'subject_24')"
Huber Regressor,3.6496,18.0791,4.2488,-0.023,0.3401,0.3547,0.407,"('subject_1', 'subject_10', 'subject_24')"
K Neighbors Regressor,3.6605,18.8322,4.3333,-0.0657,0.3422,0.3499,0.21,"('subject_1', 'subject_10', 'subject_24')"
Decision Tree Regressor,4.3498,29.952,5.4632,-0.7103,0.4205,0.3749,0.185,"('subject_1', 'subject_10', 'subject_24')"
Passive Aggressive Regressor,5.2091,40.9339,6.2662,-1.342,0.5111,0.4694,0.227,"('subject_1', 'subject_10', 'subject_24')"
Random Forest Regressor,3.5197,16.887,4.1075,0.0398,0.3205,0.3243,0.41,"('subject_1', 'subject_10', 'subject_25')"
AdaBoost Regressor,3.5544,16.6499,4.0787,0.0537,0.3235,0.335,0.198,"('subject_1', 'subject_10', 'subject_25')"
Extra Trees Regressor,3.5706,17.6844,4.2025,-0.0073,0.3251,0.3272,0.277,"('subject_1', 'subject_10', 'subject_25')"
Gradient Boosting Regressor,3.5952,17.1549,4.1388,0.0249,0.3241,0.3341,0.247,"('subject_1', 'subject_10', 'subject_25')"
Light Gradient Boosting Machine,3.6122,18.3918,4.2849,-0.0457,0.3311,0.3298,0.194,"('subject_1', 'subject_10', 'subject_25')"
Orthogonal Matching Pursuit,3.6396,17.8446,4.2225,-0.0132,0.3382,0.3514,0.245,"('subject_1', 'subject_10', 'subject_25')"
Linear Regression,3.6399,17.7785,4.2144,-0.0092,0.3361,0.349,0.154,"('subject_1', 'subject_10', 'subject_25')"
Ridge Regression,3.6411,17.7764,4.2141,-0.009,0.3362,0.3494,0.176,"('subject_1', 'subject_10', 'subject_25')"
